0,1,2,3,4
-1.0,-0.9375,0.57254905,0.57254905,0.5803922
-1.0,-0.875,0.6313726,0.6392157,0.6431373
-1.0,-0.8125,0.65882355,0.67058825,0.67058825
-1.0,-0.6875,0.6509804,0.6901961,0.67058825
-1.0,-0.4375,0.6117647,0.69411767,0.6745098
-1.0,-0.25,0.58431375,0.6392157,0.6784314
-1.0,-0.0625,0.6392157,0.6627451,0.7372549
-1.0,0.0,0.64705884,0.67058825,0.74509805
-1.0,0.0625,0.65882355,0.6745098,0.7411765
-1.0,0.1875,0.6745098,0.68235296,0.7294118
-1.0,0.375,0.67058825,0.7058824,0.6862745
-1.0,0.4375,0.65882355,0.7019608,0.6666667
-1.0,0.5625,0.6392157,0.7019608,0.6509804
-1.0,0.9375,0.44705883,0.5019608,0.5137255
-0.9375,-0.9375,0.5764706,0.5803922,0.5882353
-0.9375,-0.75,0.6666667,0.69803923,0.68235296
-0.9375,-0.375,0.5647059,0.64705884,0.6509804
-0.9375,-0.25,0.56078434,0.6117647,0.6627451
-0.9375,-0.1875,0.5803922,0.61960787,0.6862745
-0.9375,-0.0625,0.5921569,0.6156863,0.7058824
-0.9375,0.0,0.59607846,0.60784316,0.7019608
-0.9375,0.25,0.6156863,0.627451,0.6627451
-0.9375,0.4375,0.64705884,0.6862745,0.65882355
-0.9375,0.875,0.54509807,0.6117647,0.6039216
-0.875,-1.0,0.5294118,0.5294118,0.53333336
-0.875,-0.9375,0.58431375,0.59607846,0.59607846
-0.875,-0.875,0.6509804,0.6666667,0.6627451
-0.875,-0.8125,0.68235296,0.7058824,0.6901961
-0.875,-0.6875,0.6627451,0.7137255,0.6862745
-0.875,-0.625,0.6509804,0.7137255,0.6862745
-0.875,-0.5625,0.6627451,0.73333335,0.70980394
-0.875,-0.5,0.63529414,0.7137255,0.7019608
-0.875,-0.0625,0.45490196,0.47058824,0.5921569
-0.875,0.1875,0.47058824,0.47058824,0.5529412
-0.875,0.25,0.50980395,0.5137255,0.5686275
-0.875,0.3125,0.5568628,0.57254905,0.59607846
-0.875,0.5,0.63529414,0.68235296,0.64705884
-0.875,0.625,0.63529414,0.70980394,0.64705884
-0.875,0.6875,0.627451,0.70980394,0.64705884
-0.875,0.875,0.5764706,0.6431373,0.6313726
-0.875,0.9375,0.54509807,0.60784316,0.60784316
-0.8125,-0.75,0.6862745,0.7294118,0.7019608
-0.8125,-0.625,0.65882355,0.7254902,0.7019608
-0.8125,-0.5,0.62352943,0.69803923,0.69803923
-0.8125,-0.4375,0.5529412,0.627451,0.6509804
-0.8125,-0.1875,0.29803923,0.3254902,0.45490196
-0.8125,0.0625,0.23137255,0.22352941,0.36862746
-0.8125,0.125,0.27450982,0.25882354,0.39607844
-0.8125,0.1875,0.31764707,0.30980393,0.42352942
-0.8125,0.25,0.38039216,0.38039216,0.4627451
-0.8125,0.375,0.53333336,0.5529412,0.5764706
-0.8125,0.4375,0.5921569,0.61960787,0.61960787
-0.8125,0.5,0.627451,0.6666667,0.6431373
-0.8125,0.6875,0.63529414,0.72156864,0.6627451
-0.8125,0.875,0.5803922,0.65882355,0.6431373
